"GSS_CODEDZ","DZ_Name","GSS_CODECA","CA_Name","GSS_CODEIZ","MYD02SSH_A20170910Av1_v601_7200_3601_uvb__8b.edit"
"S01001790",NA,"S12000036","Edinburgh_City_of","S02000330",0.00300512688355016
"S01001791",NA,"S12000036","Edinburgh_City_of","S02000330",0.00300512688355016
"S01001792",NA,"S12000036","Edinburgh_City_of","S02000330",0.00279182566480377
"S01001793",NA,"S12000036","Edinburgh_City_of","S02000330",0.00279182566480377
"S01001794",NA,"S12000036","Edinburgh_City_of","S02000330",0.00279182566480377
"S01001795",NA,"S12000036","Edinburgh_City_of","S02000331",0.00280593456396046
"S01001796",NA,"S12000036","Edinburgh_City_of","S02000330",0.00279182566480377
"S01001797",NA,"S12000036","Edinburgh_City_of","S02000339",0.00279182566480377
"S01001798",NA,"S12000036","Edinburgh_City_of","S02000335",0.00279874167729414
"S01001799",NA,"S12000036","Edinburgh_City_of","S02000333",0.00285611530587264
"S01001800",NA,"S12000036","Edinburgh_City_of","S02000339",0.00279182566480377
"S01001801",NA,"S12000036","Edinburgh_City_of","S02000330",0.00300512688355016
"S01001802",NA,"S12000036","Edinburgh_City_of","S02000332",0.00279690701889668
"S01001803",NA,"S12000036","Edinburgh_City_of","S02000332",0.00279690701889668
"S01001804",NA,"S12000036","Edinburgh_City_of","S02000332",0.00279690701889668
"S01001805",NA,"S12000036","Edinburgh_City_of","S02000339",0.00279182566480377
"S01001806",NA,"S12000036","Edinburgh_City_of","S02000337",0.00279182566480377
"S01001807",NA,"S12000036","Edinburgh_City_of","S02000337",0.00279182566480377
"S01001808",NA,"S12000036","Edinburgh_City_of","S02000333",0.00285611530587264
"S01001809",NA,"S12000036","Edinburgh_City_of","S02000333",0.00568665737357531
"S01001810",NA,"S12000036","Edinburgh_City_of","S02000334",0.00568665737357531
"S01001811",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001812",NA,"S12000036","Edinburgh_City_of","S02000335",0.00568665737357531
"S01001813",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001814",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001815",NA,"S12000036","Edinburgh_City_of","S02000337",0.0027772829403622
"S01001816",NA,"S12000036","Edinburgh_City_of","S02000331",0.00385304511490744
"S01001817",NA,"S12000036","Edinburgh_City_of","S02000338",0.00286543349652627
"S01001818",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001819",NA,"S12000036","Edinburgh_City_of","S02000331",0.00385304511490744
"S01001820",NA,"S12000036","Edinburgh_City_of","S02000333",0.00568665737357531
"S01001821",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001822",NA,"S12000036","Edinburgh_City_of","S02000334",0.00568665737357531
"S01001823",NA,"S12000036","Edinburgh_City_of","S02000333",0.00568665737357531
"S01001824",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001825",NA,"S12000036","Edinburgh_City_of","S02000334",0.00568665737357531
"S01001826",NA,"S12000036","Edinburgh_City_of","S02000338",0.00286543349652627
"S01001827",NA,"S12000036","Edinburgh_City_of","S02000338",0.00286543349652627
"S01001828",NA,"S12000036","Edinburgh_City_of","S02000335",0.00568665737357531
"S01001829",NA,"S12000036","Edinburgh_City_of","S02000340",0.00385304511490744
"S01001830",NA,"S12000036","Edinburgh_City_of","S02000335",0.0028450277790711
"S01001831",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001832",NA,"S12000036","Edinburgh_City_of","S02000338",0.00286543349652627
"S01001833",NA,"S12000036","Edinburgh_City_of","S02000331",0.00385304511490744
"S01001834",NA,"S12000036","Edinburgh_City_of","S02000343",0.00286543349652627
"S01001835",NA,"S12000036","Edinburgh_City_of","S02000344",0.0028450277790711
"S01001836",NA,"S12000036","Edinburgh_City_of","S02000340",0.00385304511490744
"S01001837",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001838",NA,"S12000036","Edinburgh_City_of","S02000338",0.00286543349652627
"S01001839",NA,"S12000036","Edinburgh_City_of","S02000333",0.00568665737357531
"S01001840",NA,"S12000036","Edinburgh_City_of","S02000337",0.0027772829403622
"S01001841",NA,"S12000036","Edinburgh_City_of","S02000344",0.0028450277790711
"S01001842",NA,"S12000036","Edinburgh_City_of","S02000342",0.00568665737357531
"S01001843",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001844",NA,"S12000036","Edinburgh_City_of","S02000339",0.0027772829403622
"S01001845",NA,"S12000036","Edinburgh_City_of","S02000335",0.00568665737357531
"S01001846",NA,"S12000036","Edinburgh_City_of","S02000335",0.0028450277790711
"S01001847",NA,"S12000036","Edinburgh_City_of","S02000343",0.00286543349652627
"S01001848",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001849",NA,"S12000036","Edinburgh_City_of","S02000331",0.00385304511490744
"S01001850",NA,"S12000036","Edinburgh_City_of","S02000344",0.0028450277790711
"S01001851",NA,"S12000036","Edinburgh_City_of","S02000342",0.00286543349652627
"S01001852",NA,"S12000036","Edinburgh_City_of","S02000340",0.00385304511490744
"S01001853",NA,"S12000036","Edinburgh_City_of","S02000336",0.0028450277790711
"S01001854",NA,"S12000036","Edinburgh_City_of","S02000344",0.0028450277790711
"S01001855",NA,"S12000036","Edinburgh_City_of","S02000342",0.00568665737357531
"S01001856",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001857",NA,"S12000036","Edinburgh_City_of","S02000345",0.00286543349652627
"S01001858",NA,"S12000036","Edinburgh_City_of","S02000346",0.00568665737357531
"S01001859",NA,"S12000036","Edinburgh_City_of","S02000343",0.00286543349652627
"S01001860",NA,"S12000036","Edinburgh_City_of","S02000344",0.00385304511490744
"S01001861",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001862",NA,"S12000036","Edinburgh_City_of","S02000340",0.00385304511490744
"S01001863",NA,"S12000036","Edinburgh_City_of","S02000340",0.00385304511490744
"S01001864",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001865",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001866",NA,"S12000036","Edinburgh_City_of","S02000344",0.00385304511490744
"S01001867",NA,"S12000036","Edinburgh_City_of","S02000343",0.00286543349652627
"S01001868",NA,"S12000036","Edinburgh_City_of","S02000346",0.00568665737357531
"S01001869",NA,"S12000036","Edinburgh_City_of","S02000342",0.00568665737357531
"S01001870",NA,"S12000036","Edinburgh_City_of","S02000345",0.00286543349652627
"S01001871",NA,"S12000036","Edinburgh_City_of","S02000341",0.0028450277790711
"S01001872",NA,"S12000036","Edinburgh_City_of","S02000345",0.00286543349652627
"S01001873",NA,"S12000036","Edinburgh_City_of","S02000346",0.00568665737357531
"S01001874",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001875",NA,"S12000036","Edinburgh_City_of","S02000347",0.0028450277790711
"S01001876",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001877",NA,"S12000036","Edinburgh_City_of","S02000350",0.00385304511490744
"S01001878",NA,"S12000036","Edinburgh_City_of","S02000347",0.00568665737357531
"S01001879",NA,"S12000036","Edinburgh_City_of","S02000345",0.00286543349652627
"S01001880",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001881",NA,"S12000036","Edinburgh_City_of","S02000344",0.00385304511490744
"S01001882",NA,"S12000036","Edinburgh_City_of","S02000343",0.00286543349652627
"S01001883",NA,"S12000036","Edinburgh_City_of","S02000347",0.0028450277790711
"S01001884",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001885",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001886",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001887",NA,"S12000036","Edinburgh_City_of","S02000369",0.00390030186970565
"S01001888",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001889",NA,"S12000036","Edinburgh_City_of","S02000346",0.00568665737357531
"S01001890",NA,"S12000036","Edinburgh_City_of","S02000350",0.00385304511490744
"S01001891",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001892",NA,"S12000036","Edinburgh_City_of","S02000350",0.00385304511490744
"S01001893",NA,"S12000036","Edinburgh_City_of","S02000350",0.00385304511490744
"S01001894",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001895",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001896",NA,"S12000036","Edinburgh_City_of","S02000347",0.0028450277790711
"S01001897",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001898",NA,"S12000036","Edinburgh_City_of","S02000350",0.00385304511490744
"S01001899",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001900",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001901",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001902",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001903",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001904",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001905",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001906",NA,"S12000036","Edinburgh_City_of","S02000354",0.00286543349652627
"S01001907",NA,"S12000036","Edinburgh_City_of","S02000349",0.00568665737357531
"S01001908",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001909",NA,"S12000036","Edinburgh_City_of","S02000348",0.00385304511490744
"S01001910",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001911",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001912",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001913",NA,"S12000036","Edinburgh_City_of","S02000351",0.00385304511490744
"S01001914",NA,"S12000036","Edinburgh_City_of","S02000357",0.00568665737357531
"S01001915",NA,"S12000036","Edinburgh_City_of","S02000351",0.0028450277790711
"S01001916",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001917",NA,"S12000036","Edinburgh_City_of","S02000357",0.0028450277790711
"S01001918",NA,"S12000036","Edinburgh_City_of","S02000352",0.0028450277790711
"S01001919",NA,"S12000036","Edinburgh_City_of","S02000353",0.00385304511490744
"S01001920",NA,"S12000036","Edinburgh_City_of","S02000355",0.00568665737357531
"S01001921",NA,"S12000036","Edinburgh_City_of","S02000356",0.00385304511490744
"S01001922",NA,"S12000036","Edinburgh_City_of","S02000369",0.00390030186970565
