"council_ar","NAME","MYD02SSH_A20170921Av1_v601_7200_3601_uvb__8b.edit"
"100","Aberdeen City",0.00755347822403288
"110","Aberdeenshire",0.0073078957292466
"120","Angus",0.00767186729629286
"130","Argyll and Bute",0.00806802134647389
"150","Clackmannanshire",0.00787069488565595
"170","Dumfries and Galloway",0.00801685624879114
"180","Dundee City",0.00789694867501081
"190","East Ayrshire",0.00836164421354385
"200","East Dunbartonshire",0.008287454039017
"210","East Lothian",0.00809581883793023
"220","East Renfrewshire",0.00823830088036423
"230","City of Edinburgh",0.00809418768899134
"235","Eilean Siar",0.00634909347825632
"240","Falkirk",0.00821296492204948
"250","Fife",0.00787952046885214
"260","Glasgow City",0.00825560776271822
"270","Highland",0.00681055460398219
"280","Inverclyde",0.00822465810699854
"290","Midlothian",0.00810078618460067
"300","Moray",0.00708394404946552
"310","North Ayrshire",0.00832898670326009
"320","North Lanarkshire",0.00815682973586652
"330","Orkney Islands",0.00578782183190719
"340","Perth and Kinross",0.00770389398814997
"350","Renfrewshire",0.00823378496458077
"355","Scottish Borders",0.00812595958437807
"360","Shetland Islands",0.0053568950393022
"370","South Ayrshire",0.0081725082552262
"380","South Lanarkshire",0.00836137415612826
"390","Stirling",0.00806996312530282
"395","West Dunbartonshire",0.00833303308275223
"400","West Lothian",0.00825393520062665
